ID;UPCEAN;Name;CategoryID;BrandID
1156465;018610880530;Toprol xl 25mg 100 s;1;0
1156466;018610883982;Toprol xl 25mg 10x10;1;0
1156468;018610900566;Toprol xl 50mg 100 s;1;0
1156469;018610903918;Toprol xl 50mg 10x10;1;0
1156467;301861088399;Toprol xl er tab 25mg u/d;1;0
1156471;301861092396;Toprol-xl tab 100mg ud 100;1;0
1156474;301891088390;Toprol-xl tab 25mg ud 100;1;0
1156476;301861090392;Toprol-xl tab 50mg ud 100;1;0
4737329;070784650524;Tops #10 sauerkraut-dot 104.00oz;1;0
4737327;070784023755;Tops - Fruit on the bottom - Blueberry low fat yogurt (plastic cup) 8oz;1;0
4737328;070784023717;Tops - Fruit on the bottom - strawberry low fat yogurt (plastic cup) 8oz;1;0
4737330;070784419916;Tops 1 stp stfng chk-Red dot 8oz;1;0
4737331;070784019987;Tops 1% Milk 128floz;1;0
661400;025932650550;Tops 1-sub college ruled notebook 70 shts asst;1;0
661401;025932650567;Tops 1-sub wide ruled notebook 70 shts asst;1;0
3242901;070784058207;Tops 100% Juice, Apple;330591;2405323
2698042;070784024592;Tops 100% Pure Orange Juice, pulp free with calcium - carton 64floz;17374;2405323
4737332;070784253992;Tops 10cs shpr bouillon cub* 3.25oz;1;0
4737333;688267521294;Tops 16oz party cup dot 20ct 48ct;1;0
4737334;025932638008;Tops 1ct composition book;1;0
1630321;846597063765;Tops 1kg ketchup;1;0
4737335;070784048413;Tops 1lb cubed ham 16oz;1;0
4555800;025932650024;Tops 1sub notebook 8x10.5 cr asst 65022;1;2405251
4737336;070784019970;Tops 2% Milk 128floz;1;0
4737337;070784005164;Tops 2% rf lactose free 64oz;1;0
4737338;071898431467;Tops 20lb Dog Food hi-Pro 25;1;0
4737339;025932750137;Tops 3ct jr lgl pd 50sht;1;0
1630351;025932753336;Tops 3ct legal ppr pad wh;1;0
4737340;025932753237;Tops 3ct ppr pads ltr cn;1;0
1630379;025932463204;Tops 46320 manifold sales book 2 parts 5-1/2inch x 7-7/8inch;1;0
4737341;070784527437;Tops 4cs shpr plastic cup * 20ct;1;0
1630322;846597062751;Tops 500g ketchup;1;0
4737342;088267226685;Tops 5cs shpr plates 8-7/8 50ct;1;0
3188168;070784273198;Tops 66c bnd 32zstrw/28zpb 60oz;330591;2405323
4737343;070784273181;Tops 66c bnd 32zstrw/28zpb 60oz 396ct;1;0
4737344;070784880327;Tops 70% isopropyl rubbing alcohol 16floz;1;0
1733832;025932639906;Tops 8-1/2x 14inch, White 50 sheets;2;2405251
4737345;070784048390;Tops 8oz diced ham 8oz;1;0
1630323;025932726019;Tops addng mach tp;1;0
3242903;070784506821;Tops airheads, candy, Blue Raspberry;330591;2405323
4737346;070784438290;Tops all purpose baking d 40oz;1;0
3242904;070784503349;Tops almond berry pistachio Mix;330591;2405323
3242905;070784003917;Tops almond windmill cookies;330591;2405323
3242906;070784502922;Tops almonds, Milk chocolate;330591;2405323
3242907;070784502564;Tops almonds, roasted&salted;330591;2405323
3242908;070784502779;Tops angelino jumbo plums;330591;2405323
3008304;070784003443;Tops animal crackers, Original;330591;2405323
4737349;070784517063;Tops antibacterial wipes 40ct;1;0
4737350;088267036581;Tops appl Juice 100% 6pk-dot 60oz;1;0
4737351;088267536586;Tops appl Juice 100% 6pk-dot 60oz 4ct;1;0
2697867;070784152226;Tops Apple all Natural unsweetened 64oz;17374;2405323
4737352;111111008257;Tops Apple cider 128oz 4ct;1;0
4737353;122198003127;Tops Apple cider 64oz * 64oz;1;0
4737354;111111005263;Tops Apple cider 64oz * 64oz 9ct;1;0
4737355;122198111112;Tops Apple cider 64oz * 64oz 9ct #2;1;0
3242909;070784502410;Tops Apple cider candy corn;330591;2405323
1630324;846597028436;Tops Apple jam;1;0
2697868;070784152264;Tops Apple Juice w calcium 64oz;17374;2405323
4737356;070784915197;Tops Apple pie filling dot 21oz;1;0
2697869;070784152240;Tops Apple unsweetened 64oz;17374;2405323
2697870;070784112466;Tops applesauce Natural;2511557;2405323
2697871;070784112541;Tops applesauce Natural #2;2511557;2405323
2697872;070784112640;Tops applesauce Natural #3;2511557;2405323
2697873;070784112701;Tops applesauce naturl;2511557;2405323
2697875;070784140025;Tops artichoke quarters;2511557;2405323
3242910;070784060149;Tops artisan bread, sourdough batard;330591;2405323
2697876;070784193007;Tops asparagus cut spears;65;2405323
2697877;070784193021;Tops aspragus spear Extra Long;2511557;2405323
3242911;070784506494;Tops assorted circus peanuts;330591;2405323
3242912;070784502977;Tops assorted jordan almonds;330591;2405323
3242913;070784502687;Tops australian licorice twists;330591;2405323
3242914;070784502670;Tops australian Red twists;330591;2405323
1630325;846597011056;Tops b/c jelly;1;0
2405252;025932204975;Tops b/w writing pads wide rule 6pk 20497;2;2405251
2697878;070784043401;Tops Baby lima beans 16oz;2507362;2405323
3242915;070784017044;Tops Baby swiss Cheese;330591;2405323
3012204;070784057781;Tops bagel cinn/rsn 6ct 12oz;330591;2405323
3012236;070784057767;Tops bagel egg 6ct 12oz;330591;2405323
4737357;070784061085;Tops bagels big cinn 15.6oz;1;0
4737358;070784061078;Tops bagels big egg 15.6oz;1;0
3242902;070784061061;Tops bagels big&cr pl 15.6oz;330591;2405323
3004431;070784057774;Tops bagels onion 6ct 12oz;330591;2405323
3242916;070784007861;Tops bagels, cinnamon raisin swirl;330591;2405323
1630326;846597065011;Tops baking Powder 100g;1;0
4737359;070784461519;Tops baking Powder 10oz;1;0
4737360;070784915210;Tops baking soda 64oz;1;0
4737361;070784452500;Tops baking/biscuit Mix dot 6.75oz;1;0
3242917;070784502786;Tops banana chips;330591;2405323
4737362;088267012332;Tops banana nut cereal-dot 15oz;1;0
4737363;088267512337;Tops banana nut cereal-dot 15oz 12ct;1;0
2697879;070784130828;Tops bartlett pear hlves Juice;2511557;2405323
2697880;070784130842;Tops bartlett sliced pears in pear Juice;2511557;2405323
4737803;688267556739;Tops bb chnky sirloin brgr sou 18.60oz 12ct;1;0
4737804;688267056734;Tops bb chnky sirloin brgr sou 18.6oz;1;0
4737364;088267046023;Tops beef bologna 12oz;1;0
4737365;088267110366;Tops beef bologna 12oz 16ct;1;0
